node_number,g_number,result
1,0,33
1,0,28
1,0,32
1,0,20
1,0,29
1,0,22
1,0,24
1,0,8
1,0,29
1,0,34
1,0,31
1,0,19
1,0,37
1,0,17
1,0,24
1,0,50
1,0,6
1,0,18
1,0,18
1,0,18
1,0,30
1,0,21
1,0,28
1,0,25
1,0,48
1,0,45
1,0,22
1,0,5
1,0,30
1,0,31
1,0,15
1,0,30
1,0,34
1,0,7
1,0,21
1,0,5
1,0,32
1,0,38
1,0,47
1,0,19
1,0,23
1,0,8
1,0,5
1,0,30
1,0,10
1,0,18
1,0,20
1,0,24
1,0,50
1,0,29
1,0,34
1,0,14
1,0,20
1,0,14
1,0,20
1,0,18
1,0,25
1,0,20
1,0,12
1,0,22
1,0,28
1,0,29
1,0,29
1,0,8
1,0,20
1,0,31
1,0,7
1,0,23
1,0,18
1,0,73
1,0,37
1,0,18
1,0,15
1,0,11
1,0,16
1,0,28
1,0,24
1,0,31
1,0,15
1,0,26
1,0,34
1,0,33
1,0,10
1,0,34
1,0,47
1,0,15
1,0,34
1,0,21
1,0,17
1,0,9
1,0,29
1,0,13
1,0,17
1,0,38
1,0,21
1,0,33
1,0,33
1,0,16
1,0,6
1,0,23
1,1,29
1,1,33
1,1,24
1,1,16
1,1,21
1,1,12
1,1,17
1,1,21
1,1,33
1,1,21
1,1,23
1,1,32
1,1,24
1,1,47
1,1,10
1,1,27
1,1,24
1,1,12
1,1,29
1,1,30
1,1,17
1,1,18
1,1,10
1,1,27
1,1,6
1,1,50
1,1,17
1,1,12
1,1,42
1,1,31
1,1,23
1,1,19
1,1,26
1,1,45
1,1,25
1,1,37
1,1,35
1,1,14
1,1,49
1,1,45
1,1,26
1,1,19
1,1,15
1,1,8
1,1,35
1,1,30
1,1,30
1,1,28
1,1,26
1,1,10
1,1,48
1,1,28
1,1,17
1,1,39
1,1,27
1,1,20
1,1,24
1,1,40
1,1,25
1,1,39
1,1,23
1,1,20
1,1,19
1,1,9
1,1,26
1,1,37
1,1,11
1,1,16
1,1,40
1,1,7
1,1,34
1,1,43
1,1,11
