node_number,g_number,result
1,0,55
1,0,26
1,0,34
1,0,42
1,0,66
1,0,54
1,0,38
1,0,28
1,0,39
1,0,46
1,0,39
1,0,44
1,0,23
1,0,33
1,0,43
1,0,32
1,0,58
1,0,52
1,0,42
1,0,32
1,0,32
1,0,35
1,0,36
1,0,25
1,0,28
1,0,71
1,0,21
1,0,47
1,0,56
1,0,35
1,0,12
1,0,65
1,0,24
1,0,30
1,0,39
1,0,25
1,0,35
1,0,41
1,0,39
1,0,32
1,0,55
1,0,39
1,0,87
1,0,29
1,0,52
1,0,35
1,0,39
1,0,22
1,0,43
1,0,38
1,0,17
1,0,33
1,0,43
1,0,21
1,0,47
1,0,36
1,0,47
1,0,59
1,0,52
1,0,46
1,0,37
1,0,58
1,0,34
1,0,41
1,0,56
1,0,50
1,0,48
1,0,60
1,0,27
1,0,51
1,0,61
1,0,31
1,0,85
1,0,40
1,0,11
1,0,26
1,0,31
1,0,38
1,0,41
1,0,30
1,0,47
1,0,34
1,0,51
1,0,41
1,0,44
1,0,20
1,0,48
1,0,31
1,0,30
1,0,40
1,0,35
1,0,33
1,0,49
1,0,70
1,0,63
1,0,49
1,0,62
1,0,39
1,0,25
1,0,52
1,1,34
1,1,61
1,1,37
1,1,46
1,1,55
1,1,41
1,1,48
1,1,19
1,1,53
1,1,26
1,1,21
1,1,75
1,1,47
1,1,19
1,1,29
1,1,51
1,1,29
1,1,59
1,1,53
1,1,28
1,1,30
1,1,29
1,1,69
1,1,41
1,1,38
1,1,22
1,1,15
1,1,51
1,1,51
1,1,41
1,1,48
1,1,39
1,1,32
1,1,36
1,1,51
1,1,17
1,1,61
1,1,56
1,1,77
1,1,55
1,1,17
1,1,44
1,1,84
1,1,20
1,1,32
1,1,44
1,1,30
1,1,23
1,1,33
1,1,29
1,1,52
1,1,42
1,1,30
1,1,20
1,1,51
1,1,37
1,1,30
1,1,22
1,1,27
1,1,43
1,1,31
1,1,45
1,1,25
1,1,66
1,1,35
1,1,47
1,1,44
1,1,42
1,1,67
1,1,53
1,1,18
1,1,21
1,1,23
1,1,58
1,1,63
1,1,19
1,1,45
1,1,43
1,1,36
1,1,90
1,1,23
1,1,76
1,1,78
1,1,44
1,1,87
1,1,84
1,1,32
1,1,45
1,1,74
1,1,54
1,1,58
1,1,23
1,1,32
1,1,13
1,1,26
1,1,34
1,1,56
1,1,32
1,1,71
1,1,45
1,2,58
1,2,38
1,2,34
1,2,32
1,2,64
1,2,98
1,2,39
1,2,40
1,2,39
1,2,21
1,2,57
1,2,49
1,2,21
1,2,50
1,2,28
1,2,57
1,2,65
1,2,12
1,2,61
1,2,30
1,2,37
1,2,45
1,2,54
1,2,80
1,2,52
1,2,45
1,2,47
1,2,50
1,2,54
1,2,46
1,2,63
1,2,46
1,2,50
1,2,58
1,2,69
1,2,35
1,2,53
1,2,45
1,2,28
1,2,30
1,2,41
1,2,69
1,2,35
1,2,19
1,2,56
1,2,63
1,2,41
1,2,32
1,2,26
1,2,55
1,2,57
1,2,31
1,2,74
1,2,98
1,2,61
1,2,69
1,2,31
1,2,41
1,2,89
1,2,58
1,2,17
1,2,62
1,2,74
1,2,34
1,2,92
1,2,27
1,2,47
1,2,51
1,2,89
1,2,37
1,2,49
1,2,28
1,2,35
1,2,25
1,2,39
1,2,48
1,2,39
1,2,41
1,2,47
1,2,22
1,2,47
